Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9864259089464192
mvtec_cable,0.9923645320197045,0.9839017794801178
mvtec_capsule,0.9575098814229249,0.9902859431516126
mvtec_carpet,0.9988290398126464,0.9917350088954613
mvtec_grid,0.9984639016897081,0.9870656836097903
mvtec_hazelnut,1.0,0.9894197399046596
mvtec_leather,1.0,0.9937727865633833
mvtec_metal_nut,1.0,0.8743316842610718
mvtec_pill,0.9652173913043479,0.9810839541418467
mvtec_screw,0.9548640313989347,0.9948187330328967
mvtec_tile,0.9920516641828117,0.963146018516966
mvtec_toothbrush,1.0,0.9865243628561773
mvtec_transistor,0.9885964912280703,0.939261059526846
mvtec_wood,0.986842105263158,0.9518515224773566
mvtec_zipper,0.975,0.9890351761494123
Mean,0.9873159358881538,0.9735106241009345
